tns_name,sub_num,repeater_name,catalog1_flag,is_repeater,lof_median_rank,eif_score,knn_median_rank,cblof_score,subspace_score,cad_median_rank
FRB20181222A,0,FRB20180916B,1,True,395.0,0.5556313239605629,81.0,2.223084298336155,3708.18,181.0
FRB20181222A,1,FRB20180916B,1,True,302.0,0.5671304556717989,89.0,2.24711929669538,3473.56,179.0
FRB20181222A,2,FRB20180916B,1,True,627.0,0.5490807530474966,114.0,1.9927176934749113,3442.22,203.0
FRB20181222A,3,FRB20180916B,1,True,585.0,0.5511964061630429,148.0,1.9418091239852076,2926.76,146.0
FRB20181222A,4,FRB20180916B,1,True,789.0,0.5374326845218677,195.0,1.698435257562793,2516.68,214.0
FRB20181222B,0,,1,False,2072.0,0.4458425312966946,2204.0,1.5297275097587886,2519.54,1865.0
FRB20181222C,0,,1,False,403.0,0.47306662366862934,571.0,2.1975562794307923,2999.98,1268.0
FRB20181222D,0,,1,False,582.0,0.46764663631406417,1097.0,1.7529286365237462,3059.96,2070.0
FRB20181222E,0,,1,False,1784.0,0.411022194101329,2057.0,1.675960152821192,2509.4,2012.0
FRB20181222E,1,,1,False,687.0,0.41057541448415513,1423.0,1.47767396838432,3244.04,1936.0
FRB20181223A,0,FRB20180916B,1,True,1783.0,0.42553343673737226,1125.0,1.3852782670379733,1650.22,2026.0
FRB20181223B,0,,1,False,3576.0,0.3927497536287332,2777.0,1.1708021439247023,1125.28,1684.0
FRB20181223C,0,,1,False,282.0,0.4797096132091373,447.0,2.1639178122180733,2912.7,933.0
FRB20181224A,0,,1,False,1694.0,0.47649084938062874,1121.0,1.6570862725800521,2209.12,541.0
FRB20181224B,0,,1,False,3863.0,0.4107494859608863,3449.0,0.9394724021912244,322.06,3771.0
FRB20181224C,0,,1,False,1562.0,0.4383886510698566,1339.0,1.0628265743036382,1715.76,1599.0
FRB20181224D,0,,1,False,2182.0,0.47383008083381656,1771.0,1.0986301621061534,2163.74,1831.0
FRB20181224E,0,,1,False,1806.0,0.41219700741761267,1206.0,1.3550604057396227,2417.84,1273.0
FRB20181224E,1,,1,False,2822.0,0.43058944409472405,2121.0,0.8704048153670777,981.92,1007.0
FRB20181225A,0,FRB20180916B,1,True,3946.0,0.38982204309166113,3951.0,0.5856150896570873,345.52,3536.0
FRB20181225B,0,,1,False,1696.0,0.4126229696097801,1570.0,1.5806473541214943,2525.54,1627.0
FRB20181226G,0,,1,False,3640.0,0.40617099267962403,2958.0,1.0673251699794886,821.56,2724.0
FRB20181226A,0,FRB20180916B,1,True,1241.0,0.4215407344893188,1476.0,1.7032064264628308,2792.54,1183.0
FRB20181226A,1,FRB20180916B,1,True,2476.0,0.39461319140349965,2412.0,0.9586715984687192,1488.22,2552.0
FRB20181226D,0,,1,False,2429.0,0.4200091273212221,2036.0,1.7829454741626063,2201.36,522.0
FRB20181226B,0,,1,False,2274.0,0.5187073355408544,315.0,3.214513440035128,1462.98,94.0
FRB20181226B,1,,1,False,2254.0,0.5128827191495885,385.0,3.3932584231906753,1262.58,67.0
FRB20181226E,0,,1,False,3175.0,0.3989800804873425,3579.0,0.7663372572292598,814.32,2489.0
FRB20181227A,0,,1,False,4019.0,0.3967154604957725,3929.0,0.8544754478564058,227.48,3920.0
FRB20181228A,0,,1,False,3029.0,0.37540275468109874,2703.0,1.49228165921605,1052.5,3537.0
FRB20181228B,0,,1,False,409.0,0.4435319649405065,1210.0,1.6204296127044975,2958.0,1176.0
FRB20181228C,0,,1,False,3153.0,0.4225010046690083,2947.0,1.4891455730532117,2056.08,655.0
FRB20181229A,0,,1,False,394.0,0.44864824255470487,1049.0,2.213584670850657,2780.36,1644.0
FRB20181229B,0,,1,False,3237.0,0.39552879131848406,3250.0,1.3090452346940842,1358.94,3232.0
FRB20181230A,0,,1,False,1780.0,0.43260325071336786,845.0,1.5860419939638042,2185.32,2808.0
FRB20181230B,0,,1,False,2119.0,0.42685328361713526,1926.0,1.413572170075498,1973.5,2609.0
FRB20181230C,0,,1,False,2819.0,0.41343373329385014,2588.0,1.03082137144749,1212.56,3860.0
FRB20181230D,0,,1,False,529.0,0.47898990879093767,937.0,1.6427963558194396,3051.04,293.0
FRB20181230E,0,,1,False,2489.0,0.3909012657933922,2170.0,1.634730520797819,1639.26,3654.0
FRB20181231A,0,,1,False,2375.0,0.41098561767815706,2148.0,1.0999409391646957,977.08,4004.0
