Name,is_repeater,RpName,DMfitb,Widthfitb,Scat,Flux,Fluence,SpInd,spRun,Fpk,Bandwidth
FRB20190128D,False,-9999,430.231,0.00127,0.0015,1.2,3.6,0.8,-8.5,419.5,305.2
FRB20190129A,False,-9999,484.761,0.00113,0.0102,0.49,5.0,43.0,-37.8,707.7,247.4000000000001
FRB20190130A,False,-9999,1367.461,0.00099,0.0032,0.47,4.4,19.3,-62.0,467.7,167.00000000000006
FRB20190130B,False,-9999,989.0307,0.000265,0.000769,0.77,2.95,55.4,-140.8,487.1,125.0
FRB20190131E,False,-9999,279.8006,0.00023,0.000164,3.0,5.1,22.0,-63.1,476.5,176.59999999999997
FRB20190131D,False,-9999,642.1218,0.00017,0.000426,2.9,6.8,1.61,-3.35,508.7,400.00000000000006
FRB20190131D,False,-9999,642.1218,0.000348,0.000426,2.9,6.8,5.3,-6.9,585.1,400.00000000000006
FRB20190131C,False,-9999,507.7618,0.000444,0.0005,0.84,2.1,4.5,-9.9,501.4,400.00000000000006
FRB20190131B,False,-9999,1805.729,0.00092,0.0011,0.99,3.3,16.5,-11.9,798.1,285.80000000000007
FRB20190201B,False,-9999,749.176,0.0008,0.000572,0.81,2.3,1.8,-14.8,425.9,231.90000000000003
FRB20190201A,False,-9999,242.0038,0.000608,0.00072,2.6,3.1,0.1,-0.2,476.6,400.00000000000006
FRB20190202B,False,-9999,464.906,0.00051,0.00056,1.57,2.7,3.89,-6.6,536.2,400.00000000000006
FRB20190202A,False,-9999,307.3605,0.0007103,0.00072,41.0,95.0,5.13,-12.38,492.3,357.59999999999997
FRB20190203B,False,-9999,582.2248,0.0003,0.00058,0.49,0.93,1.5,-8.5,437.5,335.50000000000006
FRB20190203A,False,-9999,420.5727,0.00055,0.000832,1.21,4.0,25.0,-75.0,472.9,163.2
FRB20190203C,False,-9999,370.462,0.00205,0.0025,1.4,4.4,0.1,0.0,800.2,400.00000000000006
FRB20190204A,False,-9999,449.639,0.00181,0.00088,0.24,1.5,2.4,-28.0,418.2,157.7
FRB20190204B,False,-9999,1464.9393,0.001022,0.000418,1.35,4.4,6.23,-8.7,571.7,400.00000000000006
FRB20190205A,False,-9999,695.389,0.000602,0.00069,0.74,1.7,18.3,-47.3,485.7,205.40000000000003
FRB20190206C,False,-9999,1043.002,0.00201,0.00142,0.56,3.8,1.0,-5.2,439.2,400.00000000000006
FRB20190206B,False,-9999,352.52,0.0071,0.009,0.95,9.6,11.6,-24.6,506.4,287.40000000000003
FRB20190206A,False,-9999,188.3364,0.000804,0.00274,1.4,9.1,38.0,-65.7,534.5,201.40000000000003
FRB20190208B,False,-9999,714.22009,0.0001,0.0001167,10.3,14.3,0.69,-8.02,417.9,313.7
FRB20190208C,False,-9999,238.3921,0.000411,0.00045,1.27,1.74,18.7,-54.6,474.9,183.00000000000006
FRB20190208A,True,FRB20190208A,579.843,0.00076,0.00122,0.39,4.9,48.0,-58.0,602.7,241.0
FRB20190208A,True,FRB20190208A,579.843,0.00041,0.00122,0.39,4.9,77.0,-115.0,557.8,158.2
FRB20190208A,True,FRB20190208A,579.843,0.00038,0.00122,0.39,4.9,74.0,-127.0,535.9,144.80000000000007
FRB20190208A,True,FRB20190208A,579.843,0.00679,0.00122,0.39,4.9,29.6,-101.0,463.2,138.50000000000006
FRB20190209A,True,FRB20190209A,424.786,0.00143,0.00113,0.77,3.9,28.5,-89.0,470.1,152.2
FRB20190210B,False,-9999,624.1879,0.000397,0.000364,2.6,5.3,-2.45,-3.09,400.2,295.90000000000003
FRB20190210C,False,-9999,643.3669,0.000286,0.00025,2.37,3.6,0.35,-1.5,448.5,400.00000000000006
FRB20190210A,True,FRB20190209A,426.12,0.00578,0.0015,0.25,1.81,25.4,-89.0,461.8,142.3
FRB20190210D,False,-9999,359.1477,0.00058,0.000273,1.37,2.5,20.7,-24.4,611.8,350.30000000000007
FRB20190210E,False,-9999,580.58,0.00096,0.0011,0.69,1.45,13.4,-40.5,472.2,199.2
FRB20190211A,False,-9999,1188.256,0.00036,0.00329,1.47,5.8,38.9,-39.3,656.0,285.20000000000005
FRB20190211B,False,-9999,260.7,0.0001,0.000152,0.3,1.35,1.4,-7.5,440.1,364.7
FRB20190212B,False,-9999,600.1866,0.000226,0.000496,1.55,3.7,-2.05,-3.6,400.2,301.8
FRB20190212C,False,-9999,1016.45,0.00442,0.0101,0.7,12.2,3.25,-7.4,498.1,400.00000000000006
FRB20190212D,False,-9999,1139.765,0.00105,0.0159,0.42,5.7,-4.2,-0.3,400.2,281.40000000000003
FRB20190212A,True,FRB20190212A,301.784,0.00276,0.0033,0.41,3.1,8.8,-28.9,466.3,218.00000000000006
FRB20190213A,True,FRB20190213A,651.06,0.00151,0.00286,0.45,2.3,4.8,-53.0,418.9,115.69999999999999
FRB20190213C,False,-9999,357.0634,0.000646,0.00081,0.62,1.09,-0.2,0.6,800.2,400.00000000000006
FRB20190213B,True,FRB20190212A,301.3128,0.00074,0.00068,0.92,4.2,58.0,-62.0,639.2,248.80000000000007
FRB20190213B,True,FRB20190212A,301.3128,0.00028,0.00068,0.92,4.2,68.0,-136.0,514.3,134.39999999999998
FRB20190213D,False,-9999,1346.8476,0.000626,0.0007,1.0,2.2,26.2,-25.3,671.4,303.6
FRB20190214A,False,-9999,497.68,0.0145,0.017,0.46,8.8,0.1,0.0,800.2,400.00000000000006
FRB20190214C,False,-9999,533.112,0.00168,0.00108,1.02,5.2,4.9,-16.7,463.1,271.50000000000006
FRB20190215B,False,-9999,274.6295,0.000864,0.00092,2.2,5.6,-1.27,-2.09,400.2,400.00000000000006
FRB20190216A,True,FRB20181017A,1282.37,0.02051,0.0234,0.91,47.0,20.4,-50.8,489.2,205.09999999999997
FRB20190217A,False,-9999,798.1092,0.00086,0.00315,0.29,1.19,3.4,-6.4,521.5,400.00000000000006
FRB20190217B,False,-9999,846.212,0.00066,0.0079,0.54,6.0,-3.3,0.9,400.2,400.00000000000006
FRB20190218A,False,-9999,1285.129,0.00141,0.0017,0.54,1.65,1.7,-4.5,483.6,400.00000000000006
FRB20190218B,False,-9999,547.868,0.00205,0.0141,0.57,5.9,46.2,-60.0,588.0,231.80000000000007
FRB20190218C,False,-9999,319.32387,0.000206,0.0001113,19.0,31.0,3.08,-16.09,440.4,242.8
FRB20190219A,False,-9999,657.1942,0.001592,0.0017,0.305,0.96,-2.69,-0.2,400.2,400.00000000000006
FRB20190219B,False,-9999,1681.11,0.00242,0.0164,1.1,14.4,6.44,-7.6,612.2,400.00000000000006
FRB20190219C,False,-9999,806.688,0.00208,0.0026,0.4,1.96,8.2,-9.6,613.5,400.00000000000006
FRB20190220A,False,-9999,216.12,0.00055,0.000237,0.34,0.68,-3.3,-3.3,400.2,242.2
FRB20190221A,False,-9999,223.806,0.00097,0.000408,1.23,2.33,5.1,-23.9,444.8,206.3
FRB20190221B,False,-9999,393.124,0.00394,0.0049,0.69,5.6,-0.3,-2.4,400.2,400.00000000000006
FRB20190221C,False,-9999,2042.3,0.00118,0.0131,0.59,7.1,16.2,-16.0,664.9,345.30000000000007
FRB20190221D,False,-9999,473.7873,0.000774,0.00095,0.65,1.13,0.3,-2.4,427.2,400.00000000000006
FRB20190222B,False,-9999,497.619,0.00152,0.00526,0.4,4.4,-1.8,-10.2,400.2,193.3
FRB20190222C,False,-9999,524.0071,0.000676,0.00074,0.44,0.83,9.3,-53.9,436.3,136.2
FRB20190222A,True,FRB20190222A,460.169,0.001839,0.000898,1.7,11.8,39.1,-182.9,445.3,98.0
FRB20190222D,False,-9999,895.2976,0.000601,0.00074,0.79,0.86,4.8,-6.4,583.6,400.00000000000006
FRB20190223A,False,-9999,389.2365,0.000763,0.00087,0.47,1.58,21.8,-103.0,444.8,116.30000000000001
FRB20190223B,False,-9999,536.5143,0.000654,0.0008,0.55,0.84,9.8,-10.5,638.6,400.00000000000006
